# What each kind of creature takes from each element: a damage
# multiplier, higher meaning it is hurt more. 0 is immune.
# wcid,name,slash,pierce,bludgeon,cold,fire,acid,electric,nether
# An empty column means the creature has no figure for that element.
# Regenerate with reference/scripts/data/creatures.sh (reads the ACE
# world database, the community's reconstruction of retail's server
# data; the client has no copy of its own).
1,Clay,1,1,1,1,1,1,1,
3,Olthoi Worker,0.75,1,1,0.75,0.75,0.42,0.25,
5,Laigus Lugian,0.66,0.66,0.66,0.42,0.3,0.9,1,
6,Banderling Scout,0.76,0.65,0.5,0.76,1,0.65,1,
7,Drudge Skulker,0.86,0.75,0.66,1.42,1.42,0.75,1.42,
8,Creeper Mosswart,0.8,0.8,0.8,0.8,1,0.8,1,
10,Mite Scamp,0.7,0.8,0.8,0.75,1,1,0.8,
11,Male Tusker,0.5,1,0.75,0.75,1,0.75,0.4,
12,Red Phyntos Wasp,1,1,1,0.8,0.9,0.9,0.9,
13,White Rat,0.6,1.6,1.6,0.6,2.1,0.85,0.85,
16,Undead,1,0.7,0.75,0.4,1,0.75,0.86,
17,Gromnie,1,1,1,1,1,1,1,
18,Reedshark Elder,0.6,0.75,1,0.66,1,1,0.75,
19,Bronze Armoredillo,0.53,1,0.5,0.95,0.5,0.7,0.95,
23,Virindi Servant,1,1,1,0.5,1,1,0.5,
177,Spiny Armoredillo,0.53,1,0.5,0.95,0.5,0.7,0.95,
178,Brown Armoredillo,0.53,1,0.5,0.95,0.5,0.7,0.95,
179,Spikey Armoredillo,0.53,1,0.5,0.95,0.5,0.7,0.95,
180,Sandy Armoredillo,0.53,1,0.5,0.95,0.5,0.7,0.95,
183,Banderling Raver,0.76,0.65,0.5,0.76,1,0.65,1,
184,Banderling Captain,0.76,0.65,0.5,0.76,1,0.65,1,
185,Bandit,1,1,1,1,1,1,1,
187,Bandit Lord,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
188,Bandit Mage,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
189,Cultist High Priest,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
190,Cultist Cohort,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
191,Cultist Priest,1,1,1,1,1,1,1,
192,Drudge Prowler,0.86,0.75,0.66,1.42,1.42,0.75,1.42,
193,Drudge Slinker,0.86,0.75,0.66,1.42,1.42,0.75,1.42,
194,Copper Golem,0.33,0.5,0.83,0.2,0.2,1,1,
195,Granite Golem,0.53,0.9,1,0.1,0.4,0.33,0.4,
196,Ice Golem,0.83,0.83,0.8,0,1,0.83,0.8,
197,Iron Golem,0.33,0.5,0.83,0.2,0.1,1,1,
198,Limestone Golem,0.63,0.63,1,0.2,0.3,1,0.63,
199,Magma Golem,0.9,0.33,0.33,1,0,0.2,0.33,
200,Mud Golem,0.83,0.83,0.83,1,1,0.33,0.83,
201,Obsidian Golem,0.53,0.9,1,0.1,0.4,0.2,0.4,
202,Sandstone Golem,0.33,0.5,1,0.2,0.2,1,0.83,
203,Gromnie Hatchling,1,1,1,0.7,0.83,1,1,
204,Lich,1,0.52,0.75,0.2,1,0.75,0.86,
205,Obeloth Lugian,0.66,0.66,0.66,0.42,0.25,0.9,1,
206,Lithos Lugian,0.66,0.66,0.66,0.42,0.25,0.9,1,
208,Mite Matron,0.7,0.8,0.8,0.75,1,1,0.8,
209,Mite Squib,0.7,0.8,0.8,0.75,1,1,0.8,
210,Mosswart Chief,0.55,0.8,0.8,0.38,1,0.3,1,
211,Mudlurk Mosswart,0.7,0.8,0.8,0.8,1,0.5,1,
212,Olthoi Noble,0.75,1,1,0.75,0.75,0.42,0.25,
213,Olthoi Nymph,0.75,1,1,0.75,0.75,0.42,0.25,
214,Olthoi Soldier,0.75,1,1,0.75,0.75,0.42,0.25,
215,Blue Phyntos Wasp,1,1,1,0.8,0.7,0.8,0.9,
216,Green Phyntos Wasp,1,1,1,0.9,0.9,0.75,0.9,
217,Gold Phyntos Wasp,1,1,1,0.75,0.75,0.75,0.25,
218,Black Rat,0.6,1.6,1.6,0.6,2.1,0.85,0.85,
219,Grey Rat,0.6,1.6,1.6,0.6,2.1,0.85,0.85,
220,Brown Rat,0.6,1.6,1.6,0.6,2.1,0.85,0.85,
221,Adult Reedshark,0.6,0.75,1,0.66,1,1,0.75,
222,Veteran Reedshark,0.6,0.75,1,0.66,1,1,0.75,
223,Reedshark Pup,0.6,0.75,1,0.66,1,1,0.75,
224,Rogue,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
225,Rogue Mage,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
226,High Tumerok,1,1,1,1,1,1,1,
227,Tumerok Gladiator,1,1,1,1,1,1,1,
228,Tumerok High Priest,1,1,1,1,1,1,1,
229,Tumerok Officer,1,1,1,1,1,1,1,
230,Tumerok Taskmaster,1,1,1,1,1,1,1,
231,Tumerok Priest,1,1,1,1,1,1,1,
232,Tumerok Scout,1,1,1,1,1,1,1,
233,Tumerok Warrior,1,1,1,1,1,1,1,
234,Tumerok Worker,1,1,1,1,1,1,1,
235,Goldenback Tusker,0.5,1,0.75,0.75,1,0.75,0.25,
236,Female Tusker,0.5,1,0.75,0.75,1,0.75,0.4,
237,Virindi Master,1,1,1,0.5,1,1,0.5,
238,Virindi Puppet,1,1,1,0.5,1,1,0.5,
619,Revenant,1,0.52,0.75,0.1,1,0.75,0.86,
937,Banderling Guard,0.76,0.65,0.5,0.76,1,0.65,1,
938,Banderling Raider,0.76,0.65,0.5,0.76,1,0.65,1,
939,Young Banderling,0.76,0.65,0.5,0.76,1,0.65,1,
940,Drudge Sneaker,0.86,0.75,0.66,1.42,1.42,0.75,1.42,
941,Water Golem,0.33,0.5,0.33,1,1,0.83,1,
942,Wood Golem,0.83,0.8,0.8,0.77,1,0.8,0.67,
943,Mite Scion,0.7,0.8,0.8,0.75,1,1,0.8,
944,Mite Digger,0.7,0.8,0.8,0.75,1,1,0.8,
945,Mite Sentry,0.7,0.8,0.8,0.75,1,1,0.8,
946,Mite Squire,0.7,0.8,0.8,0.75,1,1,0.8,
947,Barker Mosswart,0.55,0.8,0.8,0.8,1,0.5,1,
948,Mosswart Feeder,0.8,0.8,0.8,0.8,1,0.8,1,
949,Red Rat,0.6,1.6,1.6,0.6,2.1,0.85,0.85,
950,Zombie,1,0.7,0.75,0.4,1,0.75,0.86,
1210,Mercenary,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
1218,Thief,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
1240,Oversized Banderling Ogre,0.76,0.65,0.5,0.76,1.08,0.65,1.32,
1241,Banderling Bloodblade,0.76,0.65,0.5,0.76,1.08,0.65,1.32,
1242,Drudge Hoarder,0.86,0.85,0.8,1,1,0.85,1,
1243,Large Silver Rat,0.75,0.75,1,0.58,1,0.58,1,
1255,Drudge Slave Keyholder,0.86,0.85,0.8,1,1,0.85,1,
1256,Braggart Mosswart,0.55,0.8,0.8,0.8,1,0.5,1,
1257,Mosswart Overchief,0.55,0.8,0.8,0.38,1,0.3,1,
1258,Ravenous Mosswart,0.7,0.8,0.8,0.8,1,0.5,1,
