# Portals of Dereth: where each one stands and where it leads.
# name,from_cell,from_x,from_y,from_z,to_cell,to_x,to_y,to_z
# Cells are hex; the x/y/z are local to the cell's landblock.
# Regenerate with reference/scripts/data/portals.sh (reads the
# ACE world database, which is the community's reconstruction of
# retail's server data; the client has no copy of its own).
Surface,1011B,50.0,-170.3,-90.0,26E5001D,94.1,103.6,15.9
Surface,102C8,67.2,-12.6,0.0,26E5001D,94.1,103.6,15.9
Surface,2021C,80.0,-40.0,-0.1,23DD000D,29.9,118.4,40.0
Destroyed Portal to Sanamar,20225,100.0,-40.0,-0.2,33D90015,59.1,100.3,52.0
Surface,4010E,20.0,-160.0,6.0,6296003B,168.9,70.9,0.0
Surface,402A6,60.0,-10.0,24.0,6296003B,168.9,70.9,0.0
Surface,5010E,20.0,-160.0,6.0,7A180025,109.8,110.5,3.3
Surface,502A6,60.0,-10.0,24.0,7A180025,109.8,110.5,3.3
Surface,6010E,20.0,-160.0,6.0,48640031,146.5,11.2,-0.1
Surface,602A6,60.0,-10.0,24.0,48640031,146.5,11.2,-0.1
Al-Jalima Portal,7010A,4.0,-60.0,-0.1,8588002C,120.4,95.5,90.0
Tufa Portal,7010C,4.1,-80.0,-0.1,876C0008,2.0,186.9,18.0
Portal to Zaikhal,7010D,9.9,-53.8,-0.1,80900013,64.9,55.7,124.0
Uziz Portal,70111,9.9,-86.5,-0.1,A260003C,182.9,87.9,20.0
Portal to Xarabydun,70112,20.1,-53.9,-0.1,934B0021,108.3,6.1,18.1
Portal to Khayyaban,70116,20.0,-86.4,-0.1,9F440012,90.0,24.6,31.9
Qalaba'r Portal,70117,30.0,-53.7,-0.1,9722003A,168.4,24.6,102.0
Portal to Al-Arqas,7011B,29.9,-86.3,-0.1,8F58003B,183.9,60.2,9.3
Portal to Samsur,7011C,40.0,-53.6,-0.1,977B000C,25.8,73.9,0.0
Portal to Yaraq,70120,40.0,-86.2,-0.1,7D64000D,31.9,104.6,11.9
Glenden Wood Portal,70121,53.5,-10.0,-0.1,A0A40025,96.3,119.8,60.0
Lytelthorpe Portal,70122,53.4,-20.0,-0.1,C0800007,11.7,155.6,33.0
