# What each enchantment changes on whatever it lands on.
# spell_id,mod_type,mod_key,mod_val,name
# mod_type is the server's EnchantmentTypeFlags word; its low byte says
# what kind of statistic (1 attribute, 2 vital, 4 int, 8 float, 0x10
# skill, 0x80 body armour) and mod_key which one (a skill id, an
# attribute id, a float property such as a resistance). The name is
# there to read by; the client matches on the id.
# Regenerate with reference/scripts/data/spell_effects.sh (reads the
# ACE world database, the community's reconstruction of retail's server
# data; the client's SpellTable does not carry the effect).
1,36865,1,10,Strength Other I
2,36865,1,10,Strength Self I
3,36865,1,-10,Weakness Other I
4,36865,1,-10,Weakness Self I
15,36880,6,-10,Vulnerability Other I
16,36880,6,-10,Vulnerability Self I
17,36880,6,10,Invulnerability Other I
18,36880,6,10,Invulnerability Self I
19,20488,67,0.91,Fire Protection Other I
20,20488,67,0.91,Fire Protection Self I
21,20488,67,1.1,Fire Vulnerability Other I
22,20488,67,1.1,Fire Vulnerability Self I
23,41088,0,20,Armor Other I
24,41088,0,20,Armor Self I
25,41088,0,-20,Imperil Other I
26,41088,0,-20,Imperil Self I
35,33591300,360,2,Aura of Blood Drinker Self I
36,36868,44,-2,Blood Loather I
37,36872,13,0.111,Blade Bane I
38,36872,13,-0.111,Blade Lure I
49,33591300,361,-10,Aura of Swift Killer Self I
50,36868,49,10,Leaden Weapon I
51,36868,28,20,Impenetrability I
53,20488,4,1.1,Rejuvenation Other I
54,20488,4,1.1,Rejuvenation Self I
159,20488,3,1.1,Regeneration Other I
160,20488,3,1.25,Regeneration Other II
161,20488,3,1.4,Regeneration Other III
162,20488,3,1.55,Regeneration Other IV
163,20488,3,1.7,Regeneration Other V
164,20488,3,1.85,Regeneration Other VI
165,20488,3,1.1,Regeneration Self I
166,20488,3,1.25,Regeneration Self II
167,20488,3,1.4,Regeneration Self III
168,20488,3,1.55,Regeneration Self IV
169,20488,3,1.7,Regeneration Self V
170,20488,3,1.85,Regeneration Self VI
171,20488,3,0.91,Fester Other I
172,20488,3,0.8,Fester Other II
173,20488,3,0.71,Fester Other III
174,20488,3,0.65,Fester Other IV
175,20488,3,0.59,Fester Other V
176,20488,3,0.54,Fester Other VI
178,20488,3,0.91,Fester Self I
179,20488,3,0.8,Fester Self II
180,20488,3,0.71,Fester Self III
181,20488,3,0.65,Fester Self IV
182,20488,3,0.59,Fester Self V
183,20488,3,0.54,Fester Self VI
184,20488,4,1.25,Rejuvenation Other II
185,20488,4,1.4,Rejuvenation Other III
186,20488,4,1.55,Rejuvenation Other IV
187,20488,4,1.7,Rejuvenation Other V
188,20488,4,1.85,Rejuvenation Other VI
189,20488,4,1.25,Rejuvenation Self II
190,20488,4,1.4,Rejuvenation Self III
191,20488,4,1.55,Rejuvenation Self IV
192,20488,4,1.7,Rejuvenation Self V
193,20488,4,1.85,Rejuvenation Self VI
194,20488,4,0.91,Exhaustion Other I
195,20488,4,0.8,Exhaustion Other II
196,20488,4,0.71,Exhaustion Other III
197,20488,4,0.65,Exhaustion Other IV
198,20488,4,0.59,Exhaustion Other V
199,20488,4,0.54,Exhaustion Other VI
200,20488,4,0.91,Exhaustion Self I
201,20488,4,0.8,Exhaustion Self II
202,20488,4,0.71,Exhaustion Self III
203,20488,4,0.65,Exhaustion Self IV
204,20488,4,0.59,Exhaustion Self V
205,20488,4,0.54,Exhaustion Self VI
206,20488,5,1.1,Mana Renewal Other I
207,20488,5,1.25,Mana Renewal Other II
208,20488,5,1.4,Mana Renewal Other III
209,20488,5,1.55,Mana Renewal Other IV
210,20488,5,1.7,Mana Renewal Other V
211,20488,5,1.85,Mana Renewal Other VI
212,20488,5,1.1,Mana Renewal Self I
213,20488,5,1.25,Mana Renewal Self II
214,20488,5,1.4,Mana Renewal Self III
215,20488,5,1.55,Mana Renewal Self IV
216,20488,5,1.7,Mana Renewal Self V
217,20488,5,1.85,Mana Renewal Self VI
218,20488,5,0.91,Mana Depletion Other I
219,20488,5,0.8,Mana Depletion Other II
220,20488,5,0.71,Mana Depletion Other III
221,20488,5,0.65,Mana Depletion Other IV
222,20488,5,0.59,Mana Depletion Other V
223,20488,5,0.54,Mana Depletion Other VI
224,20488,5,0.91,Mana Depletion Self I
225,20488,5,0.8,Mana Depletion Self II
