# What each attack spell hits with. The element is a DamageType bit:
# 1 slash, 2 pierce, 4 bludgeon, 8 cold, 16 fire, 32 acid,
# 64 electric, 128 health, 256 stamina, 512 mana, 1024 nether.
# spell_id,element,name
# The name is there to read by; the client matches on the id.
# Regenerate with reference/scripts/data/spell_elements.sh (reads the
# ACE world database, the community's reconstruction of retail's server
# data; the client's SpellTable does not carry the element).
27,16,Flame Bolt I
28,8,Frost Bolt I
57,2,Magic Bolt
58,32,Acid Stream I
59,32,Acid Stream II
60,32,Acid Stream III
61,32,Acid Stream IV
62,32,Acid Stream V
63,32,Acid Stream VI
64,4,Shock Wave I
65,4,Shock Wave II
66,4,Shock Wave III
67,4,Shock Wave IV
68,4,Shock Wave V
69,4,Shock Wave VI
70,8,Frost Bolt II
71,8,Frost Bolt III
72,8,Frost Bolt IV
73,8,Frost Bolt V
74,8,Frost Bolt VI
75,64,Lightning Bolt I
76,64,Lightning Bolt II
77,64,Lightning Bolt III
78,64,Lightning Bolt IV
79,64,Lightning Bolt V
80,64,Lightning Bolt VI
81,16,Flame Bolt II
82,16,Flame Bolt III
83,16,Flame Bolt IV
84,16,Flame Bolt V
85,16,Flame Bolt VI
86,2,Force Bolt I
87,2,Force Bolt II
88,2,Force Bolt III
89,2,Force Bolt IV
90,2,Force Bolt V
91,2,Force Bolt VI
92,1,Whirling Blade I
93,1,Whirling Blade II
94,1,Whirling Blade III
95,1,Whirling Blade IV
96,1,Whirling Blade V
97,1,Whirling Blade VI
99,32,Acid Blast III
100,32,Acid Blast IV
101,32,Acid Blast V
102,32,Acid Blast VI
103,4,Shock Blast III
104,4,Shock Blast IV
105,4,Shock Blast V
106,4,Shock Blast VI
107,8,Frost Blast III
108,8,Frost Blast IV
109,8,Frost Blast V
110,8,Frost Blast VI
111,64,Lightning Blast III
112,64,Lightning Blast IV
113,64,Lightning Blast V
114,64,Lightning Blast VI
115,16,Flame Blast III
116,16,Flame Blast IV
117,16,Flame Blast V
118,16,Flame Blast VI
119,2,Force Blast III
120,2,Force Blast IV
121,2,Force Blast V
122,2,Force Blast VI
123,1,Blade Blast III
124,1,Blade Blast IV
125,1,Blade Blast V
126,1,Blade Blast VI
127,32,Acid Volley III
128,32,Acid Volley IV
129,32,Acid Volley V
130,32,Acid Volley VI
131,4,Bludgeoning Volley III
132,4,Bludgeoning Volley IV
133,4,Bludgeoning Volley V
134,4,Bludgeoning Volley VI
135,8,Frost Volley III
136,8,Frost Volley IV
137,8,Frost Volley V
138,8,Frost Volley VI
139,64,Lightning Volley III
140,64,Lightning Volley IV
141,64,Lightning Volley V
142,64,Lightning Volley VI
143,16,Flame Volley III
144,16,Flame Volley IV
145,16,Flame Volley V
146,16,Flame Volley VI
147,2,Force Volley III
148,2,Force Volley IV
149,2,Force Volley V
150,2,Force Volley VI
151,1,Blade Volley III
152,1,Blade Volley IV
153,1,Blade Volley V
154,1,Blade Volley VI
1097,2,Flaming Missile
1481,2,Flaming Missile Volley
1781,16,Exploding Magma
1783,32,Searing Disc
1784,1,Horizon's Blades
1785,16,Cassius' Ring of Fire
1786,2,Nuhmudira's Spines
1787,8,Halo of Frost
1788,64,Eye of the Storm
1789,4,Tectonic Rifts
1790,32,Acid Streak I
1791,32,Acid Streak II
1792,32,Acid Streak III
1793,32,Acid Streak IV
1794,32,Acid Streak V
1795,32,Acid Streak VI
1796,16,Flame Streak I
1797,16,Flame Streak II
1798,16,Flame Streak III
1799,16,Flame Streak IV
1800,16,Flame Streak V
1801,16,Flame Streak VI
1802,2,Force Streak I
1803,2,Force Streak II
1804,2,Force Streak III
1805,2,Force Streak IV
1806,2,Force Streak V
1807,2,Force Streak VI
1808,8,Frost Streak I
1809,8,Frost Streak II
1810,8,Frost Streak III
1811,8,Frost Streak IV
1812,8,Frost Streak V
1813,8,Frost Streak VI
1814,64,Lightning Streak I
1815,64,Lightning Streak II
1816,64,Lightning Streak III
1817,64,Lightning Streak IV
1818,64,Lightning Streak V
1819,64,Lightning Streak VI
1820,4,Shock Wave Streak I
1821,4,Shock Wave Streak II
1822,4,Shock Wave Streak III
1823,4,Shock Wave Streak IV
1824,4,Shock Wave Streak V
1825,4,Shock Wave Streak VI
1826,1,Whirling Blade Streak I
1827,1,Whirling Blade Streak II
1828,1,Whirling Blade Streak III
1829,1,Whirling Blade Streak IV
1830,1,Whirling Blade Streak V
1831,1,Whirling Blade Streak VI
1832,32,Torrential Acid
1833,1,Squall of Swords
1834,16,Firestorm
1835,2,Splinterfall
1836,8,Avalanche
1837,64,Lightning Barrage
1838,4,Stone Fists
1839,32,Blistering Creeper
1840,1,Bed of Blades
1841,16,Slithering Flames
1842,2,Spike Strafe
1843,8,Foon-Ki's Glacial Floe
1844,64,Os' Wall
1845,4,Hammering Crawler
2019,4,The sundering of the crystal
2030,16,Flaming Blaze
2031,2,Steel Thorns
2032,64,Electric Blaze
2033,32,Acidic Spray
2034,16,Exploding Fury
2035,64,Electric Discharge
2036,32,Fuming Acid
2037,16,Flaming Irruption
2038,8,Exploding Ice
2039,64,Sparking Fury
2042,16,Demon's Tongues
2045,4,Demon Fists
2120,32,Dissolving Vortex
2121,32,Corrosive Flash
2122,32,Disintegration
2123,32,Celdiseth's Searing
2124,1,Sau Kolin's Sword
2125,1,Flensing Wings
2126,4,Thousand Fists
2127,16,Silencia's Scorn
2128,16,Ilservian's Flame
2129,16,Sizzling Fury
2130,16,Infernae
2131,2,Stinging Needles
2132,2,The Spike
2133,2,Outlander's Insolence
2134,2,Fusillade
2135,8,Winter's Embrace
2136,8,Icy Torment
2137,8,Sudden Frost
2138,8,Blizzard
2139,64,Luminous Wrath
2140,64,Alset's Coil
2141,64,Lhen's Flare
2142,64,Tempest
2143,4,Pummeling Storm
2144,4,Crushing Shame
2145,4,Cameron's Curse
2146,1,Evisceration
2147,1,Rending Wind
2366,4,Bovine Intervention
2383,16,Dark Flame
2637,16,Invoking Aun Tanua
2672,4,Ring of True Pain
2673,4,Ring of Unspeakable Agony
